secCode,docID,流動資産_EDINET,負債合計_EDINET,投資有価証券_EDINET,更新日
35010,S100YYVN,54931000000.0,57813000000.0,4534000000.0,2026-09-06
41130,S100YY8G,16226000000.0,11908000000.0,88000000.0,2026-09-06
44300,S100YYUD,5227063000.0,5181720000.0,196924000.0,2026-09-06
48290,S100YZ0T,4711295000.0,694660000.0,279940000.0,2026-09-06
27690,S100YZ31,15261000000.0,15526000000.0,,2026-09-06
87950,S100YZ3S,22471000000.0,15303878000000.0,,2026-09-06
60440,S100YYT4,8367577000.0,5135369000.0,307862000.0,2026-09-06
198A0,S100YZ4E,1217514000.0,255334000.0,,2026-09-06
189A0,S100YZ57,9092322000.0,7160809000.0,,2026-09-06
21530,S100YYLT,33829000000.0,17957000000.0,3298000000.0,2026-09-06
65050,S100YYOS,30086000000.0,25825000000.0,14178000000.0,2026-09-06
29840,S100YYQ5,26862187000.0,37053051000.0,320695000.0,2026-09-06
79210,S100YYNO,26111519000.0,9456782000.0,3206222000.0,2026-09-06
64960,S100YYFP,23192378000.0,10995764000.0,2675365000.0,2026-09-06
13760,S100YYEO,38277060000.0,24306505000.0,2264370000.0,2026-09-06
96510,S100YYEW,11909262000.0,3384960000.0,1587423000.0,2026-09-06
58690,S100YYSK,4419070000.0,2300000000.0,524590000.0,2026-09-06
40760,S100YYRG,4505570000.0,1300385000.0,5000000.0,2026-09-06
64600,S100YYNN,388744000000.0,263173000000.0,51185000000.0,2026-09-06
205A0,S100YYTC,14351739000.0,17716081000.0,,2026-09-06
36450,S100YYS4,2958057000.0,2311671000.0,55732000.0,2026-09-06
38240,S100YYIA,569122000.0,326836000.0,,2026-09-06
45770,S100YYNI,41708000000.0,25936000000.0,2091000000.0,2026-09-06
277A0,S100YYQX,6681359000.0,2685290000.0,,2026-09-06
14190,S100YYFR,67570000000.0,58027000000.0,315000000.0,2026-09-06
41980,S100YXP8,2518171000.0,1082629000.0,579000.0,2026-09-06
37910,S100YYRV,10643190000.0,5262694000.0,285825000.0,2026-09-06
340A0,S100YYUS,2506208000.0,1217483000.0,,2026-09-06
40430,S100YY70,234630000000.0,202349000000.0,36050000000.0,2026-09-06
27220,S100YYQQ,5217025000.0,3688997000.0,24428000.0,2026-09-06
59320,S100YYN7,147710000000.0,205649000000.0,15447000000.0,2026-09-06
14010,S100YYQB,3290133000.0,1181760000.0,377818000.0,2026-09-06
60830,S100YYGU,9579233000.0,7050690000.0,96034000.0,2026-09-06
463A0,S100YYT8,45731456000.0,47641280000.0,1651451000.0,2026-09-06
372A0,S100YYO2,16076493000.0,42674790000.0,698025000.0,2026-09-06
33490,S100YYDI,165622000000.0,267292000000.0,4000000.0,2026-09-06
402A0,S100YYV1,9396800000.0,6495187000.0,,2026-09-06
464A0,S100YYOW,23443000000.0,10782000000.0,,2026-09-06
32970,S100YYGF,5228045000.0,1712453000.0,33435000.0,2026-09-06
27910,S100YYHK,25200000000.0,55339000000.0,442000000.0,2026-09-06
92650,S100YXFY,21766000000.0,18560000000.0,1139000000.0,2026-09-06
92160,S100YYAI,10603000000.0,5541000000.0,147000000.0,2026-09-06
98120,S100YYIN,8034781000.0,16403238000.0,74442000.0,2026-09-06
30210,S100YYIV,2360327000.0,8986618000.0,,2026-09-06
38920,S100YYF7,10140417000.0,3649181000.0,3656133000.0,2026-09-06
52900,S100YXM1,34690168000.0,15332238000.0,1540362000.0,2026-09-06
29340,S100YYK8,5654626000.0,7158505000.0,281503000.0,2026-09-06
97650,S100YY0T,9473920000.0,4733367000.0,1626501000.0,2026-09-06
74870,S100YY6D,13986364000.0,7194845000.0,7812873000.0,2026-09-06
48850,S100YYBG,3608522000.0,2812792000.0,301431000.0,2026-09-06
72690,S100YYB1,1096097000000.0,1391588000000.0,276650000000.0,2026-09-06
60470,S100YYKZ,7238000000.0,1938000000.0,5049000000.0,2026-09-06
55750,S100YYMC,1831171000.0,1341727000.0,19980000.0,2026-09-06
65520,S100YYH7,2778102000.0,671595000.0,233744000.0,2026-09-06
523A0,S100YYKB,931000000.0,5002000000.0,,2026-09-06
24590,S100YY3G,629324000.0,425474000.0,91718000.0,2026-09-06
27920,S100YY3Q,30789275000.0,8290611000.0,966468000.0,2026-09-06
77130,S100YXKH,11943814000.0,2571042000.0,1031780000.0,2026-09-06
14300,S100YXXB,24208066000.0,15128861000.0,32033000.0,2026-09-06
89080,S100YY3A,22476157000.0,17545038000.0,214190000.0,2026-09-06
70680,S100YYE5,6425000000.0,4331000000.0,0.0,2026-09-06
23030,S100YXLE,2089143000.0,323976000.0,645138000.0,2026-09-06
58850,S100YXZQ,4391214000.0,1756672000.0,,2026-09-06
47160,S100YY0V,203861000000.0,152722000000.0,36000000.0,2026-09-06
92780,S100YY2G,33517000000.0,38513000000.0,296000000.0,2026-09-06
18870,S100YXXI,112609000000.0,74219000000.0,9567000000.0,2026-09-06
13770,S100YXUM,113848000000.0,29217000000.0,18464000000.0,2026-09-06
73700,S100YXYC,4506270000.0,659287000.0,73177000.0,2026-09-06
31480,S100YXNS,112041000000.0,93840000000.0,175000000.0,2026-09-06
137A0,S100YXSF,1020383000.0,168279000.0,,2026-09-06
48250,S100YXMM,22372531000.0,4212176000.0,190368000.0,2026-09-06
27960,S100YXWI,13239000000.0,25005000000.0,339000000.0,2026-09-06
40570,S100YXG0,1330648000.0,931833000.0,9181000.0,2026-09-06
38560,S100YXMA,90680000000.0,101807000000.0,1453000000.0,2026-09-06
44430,S100YXFQ,35392000000.0,31943000000.0,3727000000.0,2026-09-06
35490,S100YXF5,145368000000.0,206705000000.0,3747000000.0,2026-09-06
34090,S100YXKX,895347000.0,964411000.0,140784000.0,2026-09-06
27760,S100YXHH,1243330000.0,566902000.0,5827000.0,2026-09-06
43500,S100YX7Q,22627000000.0,54241000000.0,702000000.0,2026-09-06
96860,S100YXF2,15719840000.0,17060342000.0,4166451000.0,2026-09-06
